epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.8183,1.38157,2.7707,1.18046,0.00317,0.95181,0.14066,0.0714,1.28563,3.58323,1.1361,0.000650794,0.000650794,0.000650794
2,183.524,1.4306,1.84754,1.20436,0.87244,0.49441,0.63967,0.38402,1.40988,2.62998,1.29811,0.00125225,0.00125225,0.00125225
3,275.088,1.4262,1.69908,1.24372,0.81105,0.67233,0.76785,0.37486,1.64968,2.29121,1.56444,0.0017877,0.0017877,0.0017877
4,371.183,1.42282,1.49183,1.24093,0.74167,0.69277,0.74868,0.4026,1.46732,1.62813,1.31168,0.001703,0.001703,0.001703
5,498.061,1.38535,1.34829,1.21784,0.64598,0.8253,0.82243,0.44692,1.51716,1.49141,1.25788,0.001604,0.001604,0.001604
6,701.308,1.34278,1.16047,1.17825,0.89261,0.86747,0.92199,0.56246,1.3053,1.19093,1.2159,0.001505,0.001505,0.001505
7,887.193,1.29963,1.07274,1.16863,0.90707,0.86145,0.91444,0.54015,1.3433,1.06294,1.25323,0.001406,0.001406,0.001406
