epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.80043,1.42576,2.76811,1.2098,0.00446,0.57229,0.25698,0.09362,1.33668,3.42159,1.14373,0.000650794,0.000650794,0.000650794
2,14.8126,1.38745,1.82876,1.15604,0.20008,0.3253,0.15492,0.07824,1.4257,2.80755,1.29928,0.00125225,0.00125225,0.00125225
3,20.5594,1.38842,1.59104,1.20487,0.73332,0.51352,0.65597,0.36258,1.59699,2.36526,1.44974,0.0017877,0.0017877,0.0017877
4,26.614,1.45355,1.45971,1.24533,0.71273,0.73237,0.74323,0.37777,1.52038,2.59673,1.39541,0.001703,0.001703,0.001703
5,32.5787,1.38256,1.3498,1.22469,0.91992,0.75301,0.86751,0.52586,1.32452,1.61317,1.2411,0.001604,0.001604,0.001604
6,38.4654,1.32744,1.21133,1.1779,0.90718,0.88315,0.92261,0.51691,1.46145,1.17358,1.40034,0.001505,0.001505,0.001505
7,44.1471,1.33701,1.06173,1.17832,0.92255,0.86747,0.939,0.57475,1.30884,0.83776,1.20605,0.001406,0.001406,0.001406
8,49.8733,1.27088,0.97477,1.13724,0.93641,0.86145,0.92953,0.56597,1.29547,0.81522,1.19601,0.001307,0.001307,0.001307
9,55.5207,1.262,0.94055,1.13131,0.89483,0.90964,0.94002,0.58671,1.24306,0.78649,1.18986,0.001208,0.001208,0.001208
10,61.2752,1.26419,0.92245,1.14135,0.93813,0.91566,0.96492,0.61052,1.24592,0.76378,1.21086,0.001109,0.001109,0.001109
