epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0598,1.42576,2.76811,1.2098,0.00446,0.57229,0.25698,0.09362,1.33668,3.42159,1.14373,0.000650794,0.000650794,0.000650794
2,17.0387,1.38745,1.82876,1.15604,0.20008,0.3253,0.15492,0.07824,1.4257,2.80755,1.29928,0.00125225,0.00125225,0.00125225
3,23.344,1.38842,1.59104,1.20487,0.73332,0.51352,0.65597,0.36258,1.59699,2.36526,1.44974,0.0017877,0.0017877,0.0017877
4,29.9555,1.45355,1.45971,1.24533,0.71273,0.73237,0.74323,0.37777,1.52038,2.59673,1.39541,0.001703,0.001703,0.001703
5,36.3857,1.38256,1.3498,1.22469,0.91992,0.75301,0.86751,0.52586,1.32452,1.61317,1.2411,0.001604,0.001604,0.001604
6,42.4831,1.32744,1.21133,1.1779,0.90718,0.88315,0.92261,0.51691,1.46145,1.17358,1.40034,0.001505,0.001505,0.001505
7,48.7012,1.33701,1.06173,1.17832,0.92255,0.86747,0.939,0.57475,1.30884,0.83776,1.20605,0.001406,0.001406,0.001406
8,54.8909,1.27088,0.97477,1.13724,0.93641,0.86145,0.92953,0.56597,1.29547,0.81522,1.19601,0.001307,0.001307,0.001307
9,60.7611,1.262,0.94055,1.13131,0.89483,0.90964,0.94002,0.58671,1.24306,0.78649,1.18986,0.001208,0.001208,0.001208
10,66.5744,1.26419,0.92245,1.14135,0.93813,0.91566,0.96492,0.61052,1.24592,0.76378,1.21086,0.001109,0.001109,0.001109
11,108.168,1.27112,0.9486,1.1687,0.94448,0.87952,0.95943,0.58491,1.31639,0.75662,1.22389,0.00101,0.00101,0.00101
12,114.715,1.23618,0.84477,1.14324,0.94048,0.92169,0.94501,0.58675,1.23857,0.73175,1.19224,0.000911,0.000911,0.000911
13,121.67,1.22431,0.84237,1.14434,0.91852,0.95076,0.94976,0.61831,1.19113,0.65799,1.16592,0.000812,0.000812,0.000812
14,128.094,1.17629,0.78873,1.1411,0.92895,0.94515,0.96243,0.58334,1.29995,0.70548,1.20352,0.000713,0.000713,0.000713
15,134.395,1.1734,0.7775,1.11013,0.9495,0.91566,0.95256,0.61638,1.19808,0.64121,1.17031,0.000614,0.000614,0.000614
16,141.654,1.1555,0.72416,1.10713,0.90678,0.93761,0.95644,0.6317,1.15701,0.63443,1.14151,0.000515,0.000515,0.000515
17,148.212,1.10431,0.6822,1.07978,0.92579,0.93976,0.96459,0.63414,1.19123,0.6151,1.15765,0.000416,0.000416,0.000416
18,154.731,1.10473,0.65709,1.08858,0.92723,0.95783,0.96978,0.65221,1.12814,0.58746,1.13732,0.000317,0.000317,0.000317
19,161.176,1.07646,0.65616,1.07146,0.95716,0.94222,0.98142,0.67118,1.11855,0.57932,1.11071,0.000218,0.000218,0.000218
20,167.31,1.05332,0.62778,1.05578,0.96581,0.93976,0.98138,0.67374,1.11076,0.57268,1.10988,0.000119,0.000119,0.000119
